RNGSource;RNGTarget;RNGDistance;
95;2389;3,4641016;
96;472;4,5825757;
96;854;4,6904158;
96;2555;4,1231056;
96;3062;3,1622777;
97;218;4,2426407;
97;423;4,3588989;
97;651;3,8729833;
97;1239;3,0000000;
97;2976;4,3588989;
98;348;3,4641016;
98;2048;4,1231056;
98;2362;3,4641016;
98;2704;4,4721360;
98;2869;4,1231056;
99;475;3,0000000;
99;702;4,5825757;
99;1390;4,8989795;
99;3295;4,6904158;
100;162;3,7416574;
100;1530;3,7416574;
100;2094;3,3166248;
100;2328;4,1231056;
101;1633;3,3166248;
101;1862;3,6055513;
101;1880;4,3588989;
101;2245;3,0000000;
101;2856;4,0000000;
101;3198;4,3588989;
102;129;3,8729833;
102;1104;3,6055513;
102;1482;2,0000000;
102;2374;4,1231056;
102;3213;3,1622777;
103;1537;3,0000000;
103;1658;3,7416574;
103;3166;3,6055513;
103;3390;3,6055513;
104;312;4,2426407;
104;898;3,3166248;
104;1750;3,8729833;
104;2896;3,6055513;
105;1298;3,8729833;
105;1372;4,0000000;
105;1985;3,7416574;
105;3390;2,4494897;
105;3786;3,7416574;
106;575;3,7416574;
106;2226;4,4721360;
106;2388;3,7416574;
106;2591;4,3588989;
106;3402;3,8729833;
107;473;4,3588989;
107;1703;3,6055513;
108;1804;2,8284271;
108;2924;3,7416574;
109;329;3,3166248;
109;1229;4,2426407;
109;1322;4,2426407;
109;1757;3,4641016;
109;3858;3,4641016;
110;923;3,0000000;
110;3723;3,8729833;
111;2478;4,4721360;
111;2715;4,8989795;
111;2929;4,0000000;
111;3451;4,3588989;
112;1083;3,7416574;
112;1312;3,6055513;
112;1909;4,6904158;
112;3318;3,8729833;
113;1890;4,5825757;
113;2761;3,0000000;
113;3471;4,3588989;
114;682;3,3166248;
114;1670;4,1231056;
114;2743;3,8729833;
114;2954;3,3166248;
114;3209;3,7416574;
115;367;3,8729833;
115;2147;4,2426407;
117;1681;4,2426407;
117;1717;3,3166248;
117;3390;3,6055513;
117;3429;4,1231056;
118;175;4,1231056;
118;465;3,7416574;
118;651;3,3166248;
118;749;2,8284271;
118;1703;3,6055513;
118;2146;2,8284271;
119;897;3,1622777;
119;1489;3,3166248;
119;2362;3,4641016;
119;3528;3,6055513;
119;3945;3,7416574;
120;175;4,4721360;
120;493;4,1231056;
120;1893;5,3851648;
120;2666;3,3166248;
121;3328;4,0000000;
122;236;4,0000000;
122;651;3,1622777;
122;757;4,1231056;
122;1856;3,6055513;
123;707;4,3588989;
123;1371;3,0000000;
123;2238;4,2426407;
123;2306;3,7416574;
123;2317;3,0000000;
123;2971;3,7416574;
123;3277;3,0000000;
123;3783;3,4641016;
123;3872;3,6055513;
124;2103;4,0000000;
124;2852;4,0000000;
124;3128;2,8284271;
125;996;3,7416574;
125;3931;4,1231056;
126;721;4,6904158;
126;3071;3,4641016;
126;3664;4,0000000;
126;3731;4,3588989;
127;268;3,8729833;
127;486;3,8729833;
127;800;4,3588989;
127;895;3,4641016;
127;1933;4,1231056;
127;2290;4,1231056;
127;2625;4,1231056;
127;2687;4,4721360;
127;2814;3,7416574;
127;3114;4,1231056;
128;473;2,4494897;
128;1569;4,0000000;
128;1919;4,1231056;
129;2097;3,6055513;
129;2991;4,0000000;
129;3031;4,3588989;
130;1771;4,5825757;
130;3289;3,8729833;
131;1311;3,8729833;
131;1533;4,0000000;
131;1665;4,3588989;
131;2560;3,1622777;
131;3361;3,1622777;
132;985;5,4772256;
133;393;3,6055513;
133;446;4,0000000;
133;818;4,8989795;
133;1108;3,6055513;
133;2427;4,4721360;
133;2591;4,5825757;
134;1063;4,0000000;
134;3589;3,8729833;
134;3784;3,6055513;
135;439;3,3166248;
135;551;3,7416574;
135;2187;3,8729833;
135;2873;3,1622777;
135;2948;4,2426407;
135;3024;3,6055513;
135;3642;3,8729833;
136;166;4,1231056;
136;171;3,4641016;
136;1584;3,3166248;
136;1658;4,0000000;
136;2119;3,4641016;
137;1022;3,3166248;
137;2286;3,7416574;
137;2362;4,2426407;
137;2869;3,8729833;
137;3439;3,7416574;
138;612;3,6055513;
138;2103;4,0000000;
138;2576;3,4641016;
138;3992;4,0000000;
139;140;3,6055513;
139;833;4,0000000;
139;1186;4,3588989;
139;1675;3,8729833;
139;2284;3,1622777;
139;3356;3,4641016;
140;1380;4,3588989;
140;1787;3,6055513;
140;3925;2,4494897;
141;619;3,0000000;
141;634;3,7416574;
141;688;3,0000000;
141;2540;3,1622777;
142;291;5,2915026;
142;1327;4,3588989;
143;1940;4,1231056;
143;3173;3,4641016;
144;458;4,0000000;
144;652;3,1622777;
144;721;4,2426407;
144;1387;3,0000000;
144;1884;4,5825757;
144;1938;3,7416574;
144;3210;2,8284271;
144;3223;3,6055513;
144;3542;4,0000000;
145;1009;4,4721360;
145;1382;3,8729833;
145;1524;3,6055513;
145;2777;2,4494897;
